ts,platform,ms_played,conn_country,ip_addr,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,audiobook_title,audiobook_uri,audiobook_chapter_uri,audiobook_chapter_title,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode
2023-05-16T13:28:02Z,android,6000,PH,,Be Alright,Dean Lewis,A Place We Knew,spotify:track:5qrSlOut2rNAWv3ubArkNy,,,,,,,,playbtn,unknown,TRUE,FALSE,FALSE,1684242720,FALSE
2023-05-16T14:23:05Z,android,221407,PH,,All Of The Girls You Loved Before,Taylor Swift,All Of The Girls You Loved Before,spotify:track:4P9Q0GojKVXpRTJCaL3kyy,,,,,,,,clickrow,endplay,FALSE,TRUE,FALSE,1684246761,FALSE
2023-05-16T14:23:37Z,android,28996,PH,,Lavender Haze,Taylor Swift,Midnights,spotify:track:5jQI2r1RdgtuT8S3iG8zFC,,,,,,,,trackdone,fwdbtn,FALSE,TRUE,FALSE,1684246985,FALSE
2023-05-16T14:23:39Z,android,1984,PH,,Satellite,Harry Styles,Harry's House,spotify:track:0rzaRSujxA0bKyjJl6vHYq,,,,,,,,fwdbtn,fwdbtn,FALSE,TRUE,FALSE,1684247015,FALSE
2023-05-16T14:23:42Z,android,2267,PH,,opposite,Sabrina Carpenter,emails i can’t send fwd:,spotify:track:27Jko74ZSVY1kwt0vMY6Pu,,,,,,,,fwdbtn,fwdbtn,FALSE,TRUE,FALSE,1684247017,FALSE
2023-05-16T14:23:44Z,android,485,PH,,Missing June,Miki Ratsula,Missing June,spotify:track:3rdhbnrw6XeTp5aKBI0EKf,,,,,,,,fwdbtn,fwdbtn,FALSE,TRUE,FALSE,1684247020,FALSE
2023-05-16T14:23:46Z,android,261,PH,,grass is greener,sundial,grass is greener,spotify:track:6RwIjOIh9JoTbDiKmgL7fv,,,,,,,,fwdbtn,fwdbtn,FALSE,TRUE,FALSE,1684247022,FALSE
2023-05-16T14:23:54Z,android,6684,PH,,august,Taylor Swift,folklore,spotify:track:3hUxzQpSfdDqwM3ZTFQY0K,,,,,,,,fwdbtn,fwdbtn,FALSE,TRUE,FALSE,1684247024,FALSE
2023-05-16T14:23:58Z,android,20,PH,,Gasoline (feat. Taylor Swift),HAIM,Women In Music Pt III,spotify:track:2bzUVEvpZ7At5cYz1kOLI9,,,,,,,,fwdbtn,fwdbtn,FALSE,TRUE,FALSE,1684247033,FALSE
2023-05-16T14:24:00Z,android,1299,PH,,The Alcott (feat. Taylor Swift),The National,First Two Pages of Frankenstein,spotify:track:6INztpNwOTlfSKTuPo0HOP,,,,,,,,fwdbtn,fwdbtn,FALSE,TRUE,FALSE,1684247037,FALSE
2023-05-16T14:24:03Z,android,1334,PH,,Love Of My Life,Harry Styles,Harry's House,spotify:track:1mw0RgNXIpYRyyCdBQbLgA,,,,,,,,fwdbtn,fwdbtn,FALSE,TRUE,FALSE,1684247039,FALSE
2023-05-16T14:24:05Z,android,1220,PH,,Back For More,Nia Hendricks,Back For More,spotify:track:3KdJanvjyMJLfEM2m9r6xM,,,,,,,,fwdbtn,fwdbtn,FALSE,TRUE,FALSE,1684247041,FALSE
2023-05-16T14:24:08Z,android,1095,PH,,Call It What You Want,Taylor Swift,reputation,spotify:track:1GwMQaZz6Au3QLDbjbMdme,,,,,,,,fwdbtn,fwdbtn,FALSE,TRUE,FALSE,1684247044,FALSE
2023-05-16T14:24:12Z,android,2532,PH,,Kill Bill,SZA,SOS,spotify:track:1Qrg8KqiBpW07V7PNxwwwL,,,,,,,,fwdbtn,fwdbtn,FALSE,TRUE,FALSE,1684247046,FALSE
2023-05-16T14:24:14Z,android,278,PH,,because i liked a boy,Sabrina Carpenter,emails i can't send,spotify:track:32FhTAAjKZaBein150o3Px,,,,,,,,fwdbtn,fwdbtn,FALSE,TRUE,FALSE,1684247050,FALSE
2023-05-16T14:24:15Z,android,196,PH,,Angels Like You,Miley Cyrus,Plastic Hearts,spotify:track:1daDRI9ahBonbWD8YcxOIB,,,,,,,,fwdbtn,fwdbtn,FALSE,TRUE,FALSE,1684247052,FALSE
2023-05-16T14:29:04Z,android,2040,PH,,Heaven,Niall Horan,Heaven,spotify:track:1yHVHoz6Ny29gbbWJYVnFt,,,,,,,,fwdbtn,endplay,FALSE,TRUE,FALSE,1684247054,FALSE
2023-05-16T14:32:51Z,android,223078,PH,,Send My Love -To Your New Lover,Adele,25,spotify:track:563SfWAHJs4FBZMkRN0IFN,,,,,,,,clickrow,endplay,FALSE,TRUE,FALSE,1684247733,FALSE
2023-05-16T14:36:42Z,android,228093,PH,,Rolling in the Deep,Adele,21,spotify:track:4OSBTYWVwsQhGLF9NHvIbR,,,,,,,,trackdone,trackdone,FALSE,FALSE,FALSE,1684247960,FALSE
2023-05-16T14:39:26Z,android,162645,PH,,I Don't Wanna Live Forever Fifty Shades Darker,ZAYN,reputation Stadium Tour Surprise Song Playlist,spotify:track:55n9yjI6qqXh5F2mYvUc2y,,,,,,,,trackdone,fwdbtn,FALSE,TRUE,FALSE,1684248190,FALSE
2023-05-16T14:39:29Z,android,3074,PH,,Love Me Like You Do - From Fifty Shades Of Grey,Ellie Goulding,Delirium,spotify:track:3zHq9ouUJQFQRf3cm1rRLu,,,,,,,,fwdbtn,fwdbtn,FALSE,TRUE,FALSE,1684248354,FALSE
2023-05-16T14:39:32Z,android,2856,PH,,Hands To Myself,Selena Gomez,Revival,spotify:track:3CJvmtWw2bJsudbAC5uCQk,,,,,,,,fwdbtn,fwdbtn,FALSE,TRUE,FALSE,1684248357,FALSE
2023-05-16T14:39:36Z,android,2855,PH,,Stay With Me,Sam Smith,In The Lonely Hour,spotify:track:5Nm9ERjJZ5oyfXZTECKmRt,,,,,,,,fwdbtn,fwdbtn,FALSE,TRUE,FALSE,1684248360,FALSE
2023-05-16T14:39:38Z,android,1635,PH,,Hello,Adele,25,spotify:track:1Yk0cQdMLx5RzzFTYwmuld,,,,,,,,fwdbtn,fwdbtn,FALSE,TRUE,FALSE,1684248364,FALSE
2023-05-16T14:39:40Z,android,1670,PH,,Just Give Me a Reason (feat. Nate Ruess),P!nk,The Truth About Love,spotify:track:1mKXFLRA179hdOWQBwUk9e,,,,,,,,fwdbtn,fwdbtn,FALSE,TRUE,FALSE,1684248366,FALSE
2023-05-16T14:39:44Z,android,2517,PH,,Chandelier,Sia,1000 Forms Of Fear,spotify:track:4VrWlk8IQxevMvERoX08iC,,,,,,,,fwdbtn,fwdbtn,FALSE,TRUE,FALSE,1684248368,FALSE
2023-05-16T14:39:45Z,android,1327,PH,,We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,Nine Track Mind,spotify:track:06KyNuuMOX1ROXRhj787tj,,,,,,,,fwdbtn,fwdbtn,FALSE,TRUE,FALSE,1684248372,FALSE
2023-05-16T14:39:48Z,android,2363,PH,,Boom Clap,Charli xcx,SUCKER,spotify:track:7982sGZuvo5OXsY6REzgIn,,,,,,,,fwdbtn,fwdbtn,FALSE,TRUE,FALSE,1684248373,FALSE
2023-05-16T14:39:54Z,android,1638,PH,,Like I Can,Sam Smith,In The Lonely Hour,spotify:track:2TeLIzFBe3hxkPR5FIQZut,,,,,,,,fwdbtn,fwdbtn,FALSE,TRUE,FALSE,1684248376,FALSE
